bibtex_nick,Species,time_point_h,variable,value,variation_value,variation_type,series_name,source_figure,Family,breeding_system,total_longevity,ovule_number,pollen_number,image_path,methods_notes,life_form
Griffin2000,Aquilegia canadensis,3.0,pollen_grains_per_stigma,60.3,11.1,SE,CCR1 (Greenhouse),Figure 1a,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental_greenhouse.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,5.0,pollen_grains_per_stigma,80.0,10.0,SE,CCR1 (Greenhouse),Figure 1a,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental_greenhouse.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,6.0,pollen_grains_per_stigma,98.0,12.0,SE,CCR1 (Greenhouse),Figure 1a,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental_greenhouse.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,8.0,pollen_grains_per_stigma,159.4,23.7,SE,CCR1 (Greenhouse),Figure 1a,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental_greenhouse.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,3.0,pollen_grains_per_stigma,166.1,23.3,SE,QSP1 (Greenhouse),Figure 1a,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental_greenhouse.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,5.0,pollen_grains_per_stigma,99.6,17.3,SE,QSP1 (Greenhouse),Figure 1a,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental_greenhouse.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,6.0,pollen_grains_per_stigma,130.0,15.0,SE,QSP1 (Greenhouse),Figure 1a,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental_greenhouse.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,8.0,pollen_grains_per_stigma,145.9,19.3,SE,QSP1 (Greenhouse),Figure 1a,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental_greenhouse.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,3.0,log10_pollen_grains_per_stigma,0.15,,None,CCR4 (Field),Figure 2a,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,4.0,log10_pollen_grains_per_stigma,0.3,,None,CCR4 (Field),Figure 2a,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
