bibtex_nick,Species,time_point_h,variable,value,variation_value,variation_type,series_name,source_figure,Family,breeding_system,total_longevity,ovule_number,pollen_number,image_path,methods_notes,life_form
Jin2014,Mazus pumilus,9.0,pollen_load_stigma,150.0,15.0,SE,Enclosed,Figure 2 (Top),Phrymaceae,"Self-compatible, autonomous selfing; Stigma not sensitive",1.45-1.80 days,367,8110.0,Data_images/jin2014/jin2015.jpg,"Fig 2: Stigmatic pollen load comparisons between enclosed and open flowers at 09:00, 14:00, 19:00 on day 1.",Annual herb
Jin2014,Mazus pumilus,14.0,pollen_load_stigma,380.0,25.0,SE,Enclosed,Figure 2 (Top),Phrymaceae,"Self-compatible, autonomous selfing; Stigma not sensitive",1.45-1.80 days,367,,Data_images/jin2014/jin2015.jpg,"Fig 2: Stigmatic pollen load comparisons between enclosed and open flowers at 09:00, 14:00, 19:00 on day 1.",Annual herb
Jin2014,Mazus pumilus,19.0,pollen_load_stigma,780.0,50.0,SE,Enclosed,Figure 2 (Top),Phrymaceae,"Self-compatible, autonomous selfing; Stigma not sensitive",1.45-1.80 days,367,,Data_images/jin2014/jin2015.jpg,"Fig 2: Stigmatic pollen load comparisons between enclosed and open flowers at 09:00, 14:00, 19:00 on day 1.",Annual herb
Jin2014,Mazus pumilus,9.0,pollen_load_stigma,160.0,15.0,SE,Nature,Figure 2 (Top),Phrymaceae,"Self-compatible, autonomous selfing; Stigma not sensitive",1.45-1.80 days,367,,Data_images/jin2014/jin2015.jpg,"Fig 2: Stigmatic pollen load comparisons between enclosed and open flowers at 09:00, 14:00, 19:00 on day 1.",Annual herb
Jin2014,Mazus pumilus,14.0,pollen_load_stigma,390.0,20.0,SE,Nature,Figure 2 (Top),Phrymaceae,"Self-compatible, autonomous selfing; Stigma not sensitive",1.45-1.80 days,367,,Data_images/jin2014/jin2015.jpg,"Fig 2: Stigmatic pollen load comparisons between enclosed and open flowers at 09:00, 14:00, 19:00 on day 1.",Annual herb
Jin2014,Mazus pumilus,19.0,pollen_load_stigma,790.0,60.0,SE,Nature,Figure 2 (Top),Phrymaceae,"Self-compatible, autonomous selfing; Stigma not sensitive",1.45-1.80 days,367,,Data_images/jin2014/jin2015.jpg,"Fig 2: Stigmatic pollen load comparisons between enclosed and open flowers at 09:00, 14:00, 19:00 on day 1.",Annual herb
Jin2014,Mazus miquelii,9.0,pollen_load_stigma,0.0,0.0,SE,Enclosed,Figure 2 (Middle),Phrymaceae,Partially self-compatible; Stigma sensitive (closes rapidly),3.07-4.41 days,407,,Data_images/jin2014/jin2015.jpg,Fig 2: Stigma behavior prevents autogamy in enclosed flowers.,Perennial herb
Jin2014,Mazus miquelii,14.0,pollen_load_stigma,0.0,0.0,SE,Enclosed,Figure 2 (Middle),Phrymaceae,Partially self-compatible; Stigma sensitive (closes rapidly),3.07-4.41 days,407,,Data_images/jin2014/jin2015.jpg,Fig 2: Stigma behavior prevents autogamy in enclosed flowers.,Perennial herb
Jin2014,Mazus miquelii,19.0,pollen_load_stigma,20.0,5.0,SE,Enclosed,Figure 2 (Middle),Phrymaceae,Partially self-compatible; Stigma sensitive (closes rapidly),3.07-4.41 days,407,,Data_images/jin2014/jin2015.jpg,Fig 2: Stigma behavior prevents autogamy in enclosed flowers.,Perennial herb
Jin2014,Mazus miquelii,9.0,pollen_load_stigma,25.0,5.0,SE,Nature,Figure 2 (Middle),Phrymaceae,Partially self-compatible; Stigma sensitive (closes rapidly),3.07-4.41 days,407,,Data_images/jin2014/jin2015.jpg,Fig 2: Open pollination allows significant pollen load accumulation.,Perennial herb
