bibtex_nick,Species,time_point_h,variable,value,variation_value,variation_type,series_name,source_figure,Family,breeding_system,total_longevity,ovule_number,pollen_number,image_path,methods_notes,life_form
Zhang2011,Glechoma longituba,2.0,pollen_removed_grains,1208.0,483.0,SE,Pollen Removal (Cumulative),Figure 1,Lamiaceae,"Protandrous, self-compatible, predominantly outcrossing",Female phase approx 24h,4,24166,Data_images/zhang2011/zhang2011dynamics.pdf,"Fig 1: Dynamics of pollen removal and deposition. Converted from % to absolute grains using N=24,166.",Perennial herb
Zhang2011,Glechoma longituba,4.0,pollen_removed_grains,6041.0,725.0,SE,Pollen Removal (Cumulative),Figure 1,Lamiaceae,"Protandrous, self-compatible, predominantly outcrossing",Female phase approx 24h,4,24166,Data_images/zhang2011/zhang2011dynamics.pdf,"Fig 1: Dynamics of pollen removal and deposition. Converted from % to absolute grains using N=24,166.",Perennial herb
Zhang2011,Glechoma longituba,6.0,pollen_removed_grains,14500.0,1208.0,SE,Pollen Removal (Cumulative),Figure 1,Lamiaceae,"Protandrous, self-compatible, predominantly outcrossing",Female phase approx 24h,4,24166,Data_images/zhang2011/zhang2011dynamics.pdf,"Fig 1: Dynamics of pollen removal and deposition. Converted from % to absolute grains using N=24,166.",Perennial herb
Zhang2011,Glechoma longituba,8.0,pollen_removed_grains,20541.0,966.0,SE,Pollen Removal (Cumulative),Figure 1,Lamiaceae,"Protandrous, self-compatible, predominantly outcrossing",Female phase approx 24h,4,24166,Data_images/zhang2011/zhang2011dynamics.pdf,"Fig 1: Dynamics of pollen removal and deposition. Converted from % to absolute grains using N=24,166.",Perennial herb
Zhang2011,Glechoma longituba,10.0,pollen_removed_grains,22957.0,483.0,SE,Pollen Removal (Cumulative),Figure 1,Lamiaceae,"Protandrous, self-compatible, predominantly outcrossing",Female phase approx 24h,4,24166,Data_images/zhang2011/zhang2011dynamics.pdf,"Fig 1: Dynamics of pollen removal and deposition. Converted from % to absolute grains using N=24,166.",Perennial herb
Zhang2011,Glechoma longituba,2.0,pollen_deposited_grains,19.5,7.8,SE,Pollen Deposition,Figure 1,Lamiaceae,"Protandrous, self-compatible, predominantly outcrossing",Female phase approx 24h,4,24166,Data_images/zhang2011/zhang2011dynamics.pdf,Fig 1: Deposition converted using Mean Max Pollen Load = 389 grains (from text).,Perennial herb
Zhang2011,Glechoma longituba,4.0,pollen_deposited_grains,77.8,15.6,SE,Pollen Deposition,Figure 1,Lamiaceae,"Protandrous, self-compatible, predominantly outcrossing",Female phase approx 24h,4,24166,Data_images/zhang2011/zhang2011dynamics.pdf,Fig 1: Deposition converted using Mean Max Pollen Load = 389 grains (from text).,Perennial herb
Zhang2011,Glechoma longituba,6.0,pollen_deposited_grains,233.4,38.9,SE,Pollen Deposition,Figure 1,Lamiaceae,"Protandrous, self-compatible, predominantly outcrossing",Female phase approx 24h,4,24166,Data_images/zhang2011/zhang2011dynamics.pdf,Fig 1: Deposition converted using Mean Max Pollen Load = 389 grains (from text).,Perennial herb
Zhang2011,Glechoma longituba,8.0,pollen_deposited_grains,350.1,19.5,SE,Pollen Deposition,Figure 1,Lamiaceae,"Protandrous, self-compatible, predominantly outcrossing",Female phase approx 24h,4,24166,Data_images/zhang2011/zhang2011dynamics.pdf,Fig 1: Deposition converted using Mean Max Pollen Load = 389 grains (from text).,Perennial herb
Zhang2011,Glechoma longituba,10.0,pollen_deposited_grains,389.0,11.7,SE,Pollen Deposition,Figure 1,Lamiaceae,"Protandrous, self-compatible, predominantly outcrossing",Female phase approx 24h,4,24166,Data_images/zhang2011/zhang2011dynamics.pdf,Fig 1: Deposition converted using Mean Max Pollen Load = 389 grains (from text).,Perennial herb
